filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1638/20-Feb-2025-1638-01,400,3.1,0.7,0.8,1,0.2,1,1,90,0,0,NaN,0,1L001,44100
20-Feb-2025-1638/20-Feb-2025-1638-02,400,3,0.7,0.7,1,0.2,1,1,90,0,0,NaN,0,1L002,44100
20-Feb-2025-1638/20-Feb-2025-1638-03,900,2.7,0.5,0.6,1,0.2,1,1,90,0,0,NaN,0,1L003,44100
20-Feb-2025-1638/20-Feb-2025-1638-04,800,2.8,0.7,0.5,1,0.2,1,1,90,0,0,NaN,0,1L004,44100
20-Feb-2025-1638/20-Feb-2025-1638-05,500,2.9,0.6,0.7,1,0.2,1,1,90,0,1,NaN,0,1L005,44100
20-Feb-2025-1638/20-Feb-2025-1638-06,800,3.1,0.7,0.8,1,0.2,1,1,90,0,1,NaN,0,1L006,44100
20-Feb-2025-1638/20-Feb-2025-1638-07,700,2.6,0.5,0.5,1,0.2,1,1,90,0,1,NaN,0,1L007,44100
20-Feb-2025-1638/20-Feb-2025-1638-08,900,2.9,0.6,0.7,1,0.2,1,1,90,0,1,NaN,0,1L008,44100
20-Feb-2025-1638/20-Feb-2025-1638-09,400,2.9,0.7,0.6,1,0.2,1,1,90,1,0,-90,0,1L009,44100
20-Feb-2025-1638/20-Feb-2025-1638-10,500,3.1,0.8,0.7,1,0.2,1,1,90,1,0,-90,0,1L010,44100
20-Feb-2025-1638/20-Feb-2025-1638-11,500,3,0.6,0.8,1,0.2,1,1,90,1,0,-90,0,1L011,44100
20-Feb-2025-1638/20-Feb-2025-1638-12,600,2.7,0.6,0.5,1,0.2,1,1,90,1,0,-90,0,1L012,44100
20-Feb-2025-1638/20-Feb-2025-1638-13,700,2.7,0.6,0.5,1,0.2,1,1,90,1,1,90,0,1L013,44100
20-Feb-2025-1638/20-Feb-2025-1638-14,900,2.9,0.6,0.7,1,0.2,1,1,90,1,1,90,0,1L014,44100
20-Feb-2025-1638/20-Feb-2025-1638-15,900,2.8,0.5,0.7,1,0.2,1,1,90,1,1,90,0,1L015,44100
20-Feb-2025-1638/20-Feb-2025-1638-16,700,2.8,0.5,0.7,1,0.2,1,1,90,1,1,90,0,1L016,44100
