filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1639/20-Feb-2025-1639-01,500,2.9,0.8,0.5,0.2,1,1,2,90,0,0,NaN,0,2L001,44100
20-Feb-2025-1639/20-Feb-2025-1639-02,400,2.9,0.8,0.5,0.2,1,1,2,90,0,0,NaN,0,2L002,44100
20-Feb-2025-1639/20-Feb-2025-1639-03,800,3.1,0.8,0.7,0.2,1,1,2,90,0,0,NaN,0,2L003,44100
20-Feb-2025-1639/20-Feb-2025-1639-04,400,2.7,0.6,0.5,0.2,1,1,2,90,0,0,NaN,0,2L004,44100
20-Feb-2025-1639/20-Feb-2025-1639-05,600,3,0.7,0.7,0.2,1,1,2,90,0,1,NaN,0,2L005,44100
20-Feb-2025-1639/20-Feb-2025-1639-06,400,3.2,0.8,0.8,0.2,1,1,2,90,0,1,NaN,0,2L006,44100
20-Feb-2025-1639/20-Feb-2025-1639-07,500,3.1,0.7,0.8,0.2,1,1,2,90,0,1,NaN,0,2L007,44100
20-Feb-2025-1639/20-Feb-2025-1639-08,400,3.1,0.7,0.8,0.2,1,1,2,90,0,1,NaN,0,2L008,44100
20-Feb-2025-1639/20-Feb-2025-1639-09,900,2.9,0.8,0.5,0.2,1,1,2,90,1,0,-90,0,2L009,44100
20-Feb-2025-1639/20-Feb-2025-1639-10,400,2.8,0.6,0.6,0.2,1,1,2,90,1,0,-90,0,2L010,44100
20-Feb-2025-1639/20-Feb-2025-1639-11,500,2.8,0.5,0.7,0.2,1,1,2,90,1,0,-90,0,2L011,44100
20-Feb-2025-1639/20-Feb-2025-1639-12,900,2.9,0.8,0.5,0.2,1,1,2,90,1,0,-90,0,2L012,44100
20-Feb-2025-1639/20-Feb-2025-1639-13,800,2.9,0.7,0.6,0.2,1,1,2,90,1,1,90,0,2L013,44100
20-Feb-2025-1639/20-Feb-2025-1639-14,700,3,0.7,0.7,0.2,1,1,2,90,1,1,90,0,2L014,44100
20-Feb-2025-1639/20-Feb-2025-1639-15,800,2.7,0.5,0.6,0.2,1,1,2,90,1,1,90,0,2L015,44100
20-Feb-2025-1639/20-Feb-2025-1639-16,500,3,0.8,0.6,0.2,1,1,2,90,1,1,90,0,2L016,44100
