filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1638_1/20-Feb-2025-1638_1-01,600,3.2,0.8,0.8,1,0.2,1,1,-90,0,0,NaN,0,1R001,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-02,600,2.6,0.5,0.5,1,0.2,1,1,-90,0,0,NaN,0,1R002,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-03,400,2.7,0.6,0.5,1,0.2,1,1,-90,0,0,NaN,0,1R003,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-04,900,2.6,0.5,0.5,1,0.2,1,1,-90,0,0,NaN,0,1R004,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-05,800,2.8,0.6,0.6,1,0.2,1,1,-90,0,1,NaN,0,1R005,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-06,400,2.8,0.5,0.7,1,0.2,1,1,-90,0,1,NaN,0,1R006,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-07,900,2.8,0.5,0.7,1,0.2,1,1,-90,0,1,NaN,0,1R007,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-08,900,3,0.6,0.8,1,0.2,1,1,-90,0,1,NaN,0,1R008,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-09,900,3,0.7,0.7,1,0.2,1,1,-90,1,0,90,0,1R009,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-10,500,2.8,0.7,0.5,1,0.2,1,1,-90,1,0,90,0,1R010,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-11,400,3.1,0.8,0.7,1,0.2,1,1,-90,1,0,90,0,1R011,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-12,800,2.9,0.5,0.8,1,0.2,1,1,-90,1,0,90,0,1R012,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-13,700,2.9,0.5,0.8,1,0.2,1,1,-90,1,1,-90,0,1R013,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-14,800,3.2,0.8,0.8,1,0.2,1,1,-90,1,1,-90,0,1R014,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-15,500,2.8,0.7,0.5,1,0.2,1,1,-90,1,1,-90,0,1R015,44100
20-Feb-2025-1638_1/20-Feb-2025-1638_1-16,900,3,0.6,0.8,1,0.2,1,1,-90,1,1,-90,0,1R016,44100
