filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1640_3/20-Feb-2025-1640_3-01,600,2.7,0.6,0.5,1,1,2,4,90,0,0,NaN,0,4L001,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-02,700,2.8,0.7,0.5,1,1,2,4,90,0,0,NaN,0,4L002,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-03,600,3,0.7,0.7,1,1,2,4,90,0,0,NaN,0,4L003,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-04,700,2.8,0.6,0.6,1,1,2,4,90,0,0,NaN,0,4L004,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-05,600,2.8,0.7,0.5,1,1,2,4,90,0,1,NaN,0,4L005,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-06,800,3,0.8,0.6,1,1,2,4,90,0,1,NaN,0,4L006,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-07,500,2.9,0.6,0.7,1,1,2,4,90,0,1,NaN,0,4L007,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-08,700,3.1,0.8,0.7,1,1,2,4,90,0,1,NaN,0,4L008,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-09,900,2.8,0.6,0.6,1,1,2,4,90,1,0,-90,0,4L009,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-10,800,2.8,0.5,0.7,1,1,2,4,90,1,0,-90,0,4L010,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-11,700,2.8,0.7,0.5,1,1,2,4,90,1,0,-90,0,4L011,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-12,600,2.8,0.7,0.5,1,1,2,4,90,1,0,-90,0,4L012,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-13,500,2.8,0.5,0.7,1,1,2,4,90,1,1,90,0,4L013,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-14,600,3.1,0.7,0.8,1,1,2,4,90,1,1,90,0,4L014,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-15,600,3,0.6,0.8,1,1,2,4,90,1,1,90,0,4L015,44100
20-Feb-2025-1640_3/20-Feb-2025-1640_3-16,500,3,0.6,0.8,1,1,2,4,90,1,1,90,0,4L016,44100
