filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1640_1/20-Feb-2025-1640_1-01,400,2.7,0.6,0.5,0.2,0.2,2,3,90,0,0,NaN,0,3L001,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-02,700,3,0.8,0.6,0.2,0.2,2,3,90,0,0,NaN,0,3L002,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-03,900,3,0.7,0.7,0.2,0.2,2,3,90,0,0,NaN,0,3L003,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-04,500,2.9,0.8,0.5,0.2,0.2,2,3,90,0,0,NaN,0,3L004,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-05,700,3,0.8,0.6,0.2,0.2,2,3,90,0,1,NaN,0,3L005,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-06,400,2.7,0.5,0.6,0.2,0.2,2,3,90,0,1,NaN,0,3L006,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-07,800,3,0.7,0.7,0.2,0.2,2,3,90,0,1,NaN,0,3L007,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-08,400,2.8,0.6,0.6,0.2,0.2,2,3,90,0,1,NaN,0,3L008,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-09,400,2.6,0.5,0.5,0.2,0.2,2,3,90,1,0,-90,0,3L009,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-10,500,2.7,0.6,0.5,0.2,0.2,2,3,90,1,0,-90,0,3L010,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-11,400,2.7,0.5,0.6,0.2,0.2,2,3,90,1,0,-90,0,3L011,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-12,800,2.7,0.6,0.5,0.2,0.2,2,3,90,1,0,-90,0,3L012,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-13,800,2.9,0.5,0.8,0.2,0.2,2,3,90,1,1,90,0,3L013,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-14,500,3,0.8,0.6,0.2,0.2,2,3,90,1,1,90,0,3L014,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-15,800,2.9,0.7,0.6,0.2,0.2,2,3,90,1,1,90,0,3L015,44100
20-Feb-2025-1640_1/20-Feb-2025-1640_1-16,700,3.1,0.8,0.7,0.2,0.2,2,3,90,1,1,90,0,3L016,44100
